Location in Stile,Type of video,Location of video
Stile Science/Forces/3.3 Practical activity: The effect of gravity,Upload,https://stileapp.com/uploads/au/T20180524-2d0430d4c809486f6f4beefc5b7b6392753eb9423ae8e2263f1a10/IMG_2408.MOV?response-content-disposition=attachment;%20filename=%22IMG_2408.MOV%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=KwG1wopmMsl7oQorgXhKyik4VFc%3D
Stile Science/Forces/3.3 Practical activity: The effect of gravity,Upload,https://stileapp.com/publicUploads/au/d86e65bdfaa632d9ddbf8f5190e6442e21a6662b1535a453214b1c454e78f7a2/Brian_Cox_visits_the_world_s_biggest_vacuum_chamber_-_Human_Universe__Episode_4_Preview_-_BBC_Two_edit.mov?recache=true
Stile Science/Simple Machines/2.1 Lesson: Levers and mechanical advantage,Upload,https://stileapp.com/uploads/au/T20171002-3c56273425c92493eb88756e26617132fc7a8532a8b03c5ae1e28f/The_might_mathematics_of_the_lever_-_edit.mp4?response-content-disposition=attachment;%20filename=%22The_might_mathematics_of_the_lever_-_edit.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=RU5HZO8GRr2%2FQiVsnIIhnduyJyg%3D
Stile Science/Simple Machines/2.4 Engineering challenge: Squashed tomatoes,Upload,https://stileapp.com/uploads/au/T20180320-1e3b858da882a026333f5e84b5a163c7f475755e569fff9bb29280/Gravity_goods_ropeway_in_Nepal.mp4?response-content-disposition=attachment;%20filename=%22Gravity_goods_ropeway_in_Nepal.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=J4qOhqkHyHE6gZp5Q6a%2B6F2UhEc%3D
Stile Science/Cells/Introduction: Battle of the burgers,Upload,https://stileapp.com/uploads/au/T20180312-a2437c7e4811be2049dd6cb995f3b82915dda8974f94494b0ed89c/vid-01.mp4?response-content-disposition=attachment;%20filename=%22vid-01.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=tChvROAr3gDDchZZTEW0Ld7pXzs%3D
Stile Science/Cells/Introduction: Battle of the burgers,Upload,https://stileapp.com/uploads/au/T20180312-0f8a2bbcc348a0757a20d51e8607069ddeb33ffeb2df1fed62477b/cells-meat-video-part2.mp4?response-content-disposition=attachment;%20filename=%22cells-meat-video-part2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=trX2uXLJE1C%2BmynpQs7IkJJlj9I%3D
Stile Science/Cells/Introduction: Battle of the burgers,Upload,https://stileapp.com/uploads/au/T20180312-891790dff3931f8f21d395074a7c549916fd1d509df3a5ec952ac9/cells-meat-video-part3.mp4?response-content-disposition=attachment;%20filename=%22cells-meat-video-part3.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=iEHOkfzol9zADRET09Xtgoqtiro%3D
Stile Science/Cells/1.1 Lesson: Living or non-living?,Upload,https://stileapp.com/uploads/au/T20180530-5e3821633300b9e14cafe45b3aeb5b24d9d349defb22d8ae89e7df/Seven_Life_Processes__Biology_for_All__FuseSchool.mp4?response-content-disposition=attachment;%20filename=%22Seven_Life_Processes__Biology_for_All__FuseSchool.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=rA8qSl8vwEa%2FjR3Uj9q%2Fv0BgR4s%3D
Stile Science/Cells/1.1 Lesson: Living or non-living?,Upload,https://stileapp.com/uploads/au/T20180530-b41d59210842a47a6e7c29d68cc25815d410fcb2fa1fc1c4b146ee/Robot_running.mp4?response-content-disposition=attachment;%20filename=%22Robot_running.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=SqHCflYyk5%2Bt8tWJHz77Iij4RRY%3D
Stile Science/Cells/1.3 Lesson: One cell or many?,Upload,https://stileapp.com/uploads/au/T20201116-2bb3bc4f059a392e13a2438146295759d87a9b609cf090c7855b64/AdobeStock_263905446.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_263905446.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=KdOk0cEu%2FfBxftZ0erb6aZXX1w8%3D
Stile Science/Cells/1.3 Lesson: One cell or many?,Upload,https://stileapp.com/uploads/au/T20201116-8ba54ee7de13337b9b85c82effac98080f174706d45444d99db081/AdobeStock_311925325.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_311925325.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=MdkT1JMscZtCJHJ%2Fysch3JMz28k%3D
Stile Science/Cells/1.4 Lesson: Levels of organization,Upload,https://stileapp.com/uploads/au/T20180306-e7838abea122e3e264298994bccc7225de03f29379eb1030ccfa75/Levels_of_Organization.mp4?response-content-disposition=attachment;%20filename=%22Levels_of_Organization.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=Td4wx0NwgRCaQMrUkhrq%2B5wuzO8%3D
Stile Science/Cells/1.6 Extension: Cell theory ,Upload,https://stileapp.com/uploads/au/T20171204-b30d104961c20498c563d29f479bf25b79d8cdd008cf23bd3e75c2/AdobeStock_82646452.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_82646452.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=WciXQrdH1ogfJRc67zNyaJS44oQ%3D
Stile Science/Cells/1.6 Extension: Cell theory ,Upload,https://stileapp.com/uploads/au/T20180327-e9a7276a072eaaf13d855875dda5126ffe637855c94a684b7d7cb4/The_wacky_history_of_cell_theory_-_part1.mp4?response-content-disposition=attachment;%20filename=%22The_wacky_history_of_cell_theory_-_part1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=LTtAOmgesrLCl%2BrFL5V0IOUJxv0%3D
Stile Science/Cells/1.6 Extension: Cell theory ,Upload,https://stileapp.com/uploads/au/T20180328-c482bc054ecda098e2decf5c2d9c08ccdd3f3afb9de3c850869937/The_wacky_history_of_cell_theory_-_part2.mp4?response-content-disposition=attachment;%20filename=%22The_wacky_history_of_cell_theory_-_part2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=D0SNCX8HUFsb7mGKEiwcnz9sVVk%3D
Stile Science/Cells/2.1 Lesson: Introduction to microscopes,Upload,https://stileapp.com/uploads/au/T20171215-21bcdf4806b5d9d8705e660d0e5b71e5c820975d294b1bdb6ff233/Caring_for_your_microscope_v1.mp4?response-content-disposition=attachment;%20filename=%22Caring_for_your_microscope_v1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=Iz7n9lRjZkbOyQ1PnOb6C8kTOEY%3D
Stile Science/Cells/4.3 Extension: Cell biology and Aboriginal art,Upload,https://stileapp.com/uploads/au/T20180201-95d905de864de6d9f24db9c82d63d9627912750526d0191c6ccd22/Patterns_in_nature.mp4?response-content-disposition=attachment;%20filename=%22Patterns_in_nature.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626750000&Signature=umNSO5%2BvYVN9kumWBreEztyJzcg%3D
Stile Science/Cells/4.4 Extension: Mythbusters – Cell division,Upload,https://stileapp.com/uploads/au/T20180411-7df21a1e2cfa4247ce98d0265db1d03d3c4cf89c78252718114c83/AdobeStock_181055340.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_181055340.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=8PZKJkcy9dXZwSxAfZrEK359md8%3D
Stile Science/Cells/4.4 Extension: Mythbusters – Cell division,Upload,https://stileapp.com/uploads/au/T20180201-bafacf91b8e6c7e6198149dcd84443af428c9f0eda33e0841b05be/How_Bones_Heal.mp4?response-content-disposition=attachment;%20filename=%22How_Bones_Heal.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=Xfuvkq%2FIi1djOXrJR5ZM3ZiTwoc%3D
Stile Science/Cells/5.2 Career profile: Food innovator,Upload,https://stileapp.com/uploads/au/T20180211-fe5c6a43109ff03163bc6cc4f8af328ecb74ec6340b862c90e85de/Stile_Thomas_King_Interview_v05_1_234_2.mov?response-content-disposition=attachment;%20filename=%22Stile_Thomas_King_Interview_v05_1_234_2.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626753600&Signature=5G2n2POA17mU1cf0KO93Wl6pcys%3D
Stile Science/Cells/5.3 Career profile: Stem cell researcher,Upload,https://stileapp.com/uploads/au/T20171002-41fe5cdddc3ac73436dd8eac8c888cf2e8a5248bc1ef3a71e2814e/What_are_stem_cells_-_Part_1_edit.mp4?response-content-disposition=attachment;%20filename=%22What_are_stem_cells_-_Part_1_edit.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626750000&Signature=NgDZclkz22YvZJVT2Zws6NkraPk%3D
Stile Science/Plants/Science news: Why are bees disappearing?,Upload,https://stileapp.com/uploads/au/T20200715-47f081214d780e8763f88062610b1e204ec9d3a353e7a3852a2f4d/AdobeStock_339307959.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_339307959.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=zcKQOmHr1hnH%2B5M2RqO82wrWcEo%3D
Stile Science/Plants/Science news: Why are bees disappearing?,YouTube,https://youtube.com/watch?v=rKQNx0av7eY
Stile Science/Plants/1.1 Lesson: Plant anatomy,Upload,https://stileapp.com/uploads/au/T20201005-70ed4f41110dde18d36cd4d2157b0c07502685bb84d7487f8eb82c/Bamboo-_The_Miracle_Plant.mp4?response-content-disposition=attachment;%20filename=%22Bamboo-_The_Miracle_Plant.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626746400&Signature=2FqJKQnE5XlPcpVmJbBSS2sSiF8%3D
Stile Science/Plants/1.1 Lesson: Plant anatomy,Upload,https://stileapp.com/uploads/au/T20201006-d2cae8f0d9bbea0c5191cb5a74051b6503eb87238a1c7ad019375d/Food_Coloring_Flowers.mp4?response-content-disposition=attachment;%20filename=%22Food_Coloring_Flowers.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626746400&Signature=tGCo1D9DPPLamSIBGHBScEsRn6U%3D
Stile Science/Plants/1.1 Lesson: Plant anatomy,Upload,https://stileapp.com/uploads/au/T20201115-3d5ea15fd9de481e43f55d63e9a8d3ca5e4a78c6ae2dc66162c5e0/Leaves__flowers_and_fruit_v6.mp4?response-content-disposition=attachment;%20filename=%22Leaves__flowers_and_fruit_v6.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626746400&Signature=1lfG5dvoRe66RCpYilaRce3WE2o%3D
Stile Science/Plants/1.1 Lesson: Plant anatomy,Upload,https://stileapp.com/uploads/au/T20201006-cd8ef8637d469cc73f9f41251aecabb3a17914ecc97d0f5396f0e6/Pexels_Videos_1779441.mp4?response-content-disposition=attachment;%20filename=%22Pexels_Videos_1779441.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626746400&Signature=BkjUbKmK9vdWSl0k7vYcgGHTusk%3D
Stile Science/Plants/1.1 Lesson: Plant anatomy,Upload,https://stileapp.com/uploads/au/T20201006-5137757e3b05f8ed4ac4f8d52ff43b5b771cdf18a6fece215d3095/Pexels_Videos_1508571.mp4?response-content-disposition=attachment;%20filename=%22Pexels_Videos_1508571.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626746400&Signature=t0QO2aNZSLWgUQ3Pcdmu1bFq6Xc%3D
Stile Science/Plants/1.2 Lesson: Leaf structure and epidermis cells,Upload,https://stileapp.com/publicUploads/au/82b383c90fdefc1ca2e64fc646756e6a74edd75192a0daf870ce8bb942640e89/Structure_of_the_Leaf___Plant_Biology___The_Fuse_School_edited.mov?recache=true
Stile Science/Plants/1.2 Lesson: Leaf structure and epidermis cells,Upload,https://stileapp.com/publicUploads/au/622f1a224dff9f0b66580aa0714ac3352067e4a2dd65a956820f9a7a0b513e75/Stomata_and_Gas_Exchange__Animation__edited.mov?recache=true
Stile Science/Plants/2.1 Lesson: Flower anatomy,Upload,https://stileapp.com/uploads/au/T20201007-b5faf8995b7ec5ff4705cb8b65b0d9bd5ec033054ef880a596a313/Bee_Pollination.mp4?response-content-disposition=attachment;%20filename=%22Bee_Pollination.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=uJTO6GEx9OPhqzy0DdU1ZzAwlgM%3D
Stile Science/Plants/2.1 Lesson: Flower anatomy,Upload,https://stileapp.com/uploads/au/T20201125-7fd88177ffce956bed2fff90080349f64a4b40636c9c36c692dece/Flower_Dissection_-_Reproduction_in_flowering_plants.mp4?response-content-disposition=attachment;%20filename=%22Flower_Dissection_-_Reproduction_in_flowering_plants.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=QxjyHimBmgW7Fc7e7KlxMFNDty8%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201103-94ff6ad85abcc60333f55a73ed718d0bfe8abbc012ce3ba26e8e85/Pexels_Videos_1310118.mp4?response-content-disposition=attachment;%20filename=%22Pexels_Videos_1310118.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=qhOlGqkLm3w1klpgES%2F2NzpR99c%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201119-c2132fb27b77472917a6b8bd1480ad034c7314c187f373cbbd470c/videoplayback.mp4?response-content-disposition=attachment;%20filename=%22videoplayback.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=fU43vMMyNxLuQ2iDY5T8M05ZFl4%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201118-b185a4f33a6e620bff4d1048a1c1af471439cb4087b7836a4dae8b/AdobeStock_313576576.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_313576576.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=pJeKov9SJMe6XOHNhll6oZq54V0%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201119-f642e238d846bc4fcf0b63380e326b9b547a88614bf24eb3e16d64/Pollinating_with_Drones.mp4?response-content-disposition=attachment;%20filename=%22Pollinating_with_Drones.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=qXvFg76iT2q3n87EeWJeIOOyddg%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201111-20d0cbd569ba320328cd8840699ff135597bf152061823969d4813/Sexual_reproduction_in_plants_v2.mp4?response-content-disposition=attachment;%20filename=%22Sexual_reproduction_in_plants_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626753600&Signature=spzIXJGmKkBpk7Cts7vdwJNBVmM%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201110-fc2e205c31d216beb9a30e27e6419ac264542a2f79d95e801df32c/Pexels_Videos_1171471.mp4?response-content-disposition=attachment;%20filename=%22Pexels_Videos_1171471.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=5b8xyZB%2FadbKv28JmJwbL6HMUg4%3D
Stile Science/Plants/2.2 Lesson: Sexual reproduction in plants,Upload,https://stileapp.com/uploads/au/T20201118-1ef3665abc0ace5362f3ba6412198988a06ecabc2a21d5ba53bc3e/AdobeStock_369539860.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_369539860.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=h3qLRRvggHwojF6f9bayrtKhHvU%3D
Stile Science/Plants/3.1 Extension: Carnivorous plants,Upload,https://stileapp.com/publicUploads/au/3b5f34388c59d841612dc67436a49c7a07de60a65a5e14acf48a334fe6fd334b/Carnivorous_Plants_edited.mov?recache=true
Stile Science/Body Systems/Introduction: A cold-blooded killer,Upload,https://stileapp.com/uploads/au/65f7cac6c99b739dc0fa2694f490cddc63cb3db9a8c88b613c6f616488bf2c0f/Myth_Busted__How_Boa_Constrictors_Really_Kill_Their_Prey_-_crop.mp4?response-content-disposition=attachment;%20filename=%22Myth_Busted__How_Boa_Constrictors_Really_Kill_Their_Prey_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=yOFNEPtclVzBN98MavWDOcscI7E%3D
Stile Science/Body Systems/1.1 Lesson: The digestive system,Upload,https://stileapp.com/uploads/au/bd81f4fee429dc3870d38e6ad2db286366b0a1fedd7a01c4c5b52edf37409b7d/The_Digestive_System_-_crop.mp4?response-content-disposition=attachment;%20filename=%22The_Digestive_System_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=PcS1QkbMNXnomZurQpRs5eOyBEc%3D
Stile Science/Body Systems/1.2 Project: Vultures vs. koalas,Upload,https://stileapp.com/uploads/au/6ff7265bc4899dfd63c2c967e42da75af6e3ab9cfec8a2babaa79db70c9f81a8/Acid__Poop__and_Barf__Vultures__Secret_Weapons_-_crop.mp4?response-content-disposition=attachment;%20filename=%22Acid__Poop__and_Barf__Vultures__Secret_Weapons_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=XLDz7KMd0OY7tHH03qeHpXPpzxw%3D
Stile Science/Body Systems/1.2 Project: Vultures vs. koalas,Upload,https://stileapp.com/uploads/au/00b76bf9d696b55d91d518c885419cc63e74aa3ff3cc7f0e70e861a8d1eede44/Cracking_the_Koala_Code_Fill_Episode___edited.mov.webm?response-content-disposition=attachment;%20filename=%22Cracking_the_Koala_Code_Fill_Episode___edited.mov.webm%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=coAqD8cOmFkUhIYFhhPqV5hsd64%3D
Stile Science/Body Systems/2.2 Lesson: The respiratory system,Upload,https://stileapp.com/uploads/au/01b8d8a5124a071971e2334665993be8ce66eb504f2a4213ea8d25b22517d480/The_Respiratory_System_-_crop.mp4?response-content-disposition=attachment;%20filename=%22The_Respiratory_System_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=F8XdYROhhWj97cvccKCw3JBH80s%3D
Stile Science/Body Systems/2.2 Lesson: The respiratory system,Upload,https://stileapp.com/uploads/au/5f09875ad1b6b6896c1e92411f36a60bf6e71b57934a27b7aceb5bb19792ab70/gas-exchange-final-logos.mov?response-content-disposition=attachment;%20filename=%22gas-exchange-final-logos.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=DNYbIdqKIuXL6SWxsWkiP7uPDbY%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191024-47cc0457038e3ae361f2ac1f342a3352d51d54cb242077191d47f3/Pacers__Myles_Turner_Talks_Yoga_Benefits_for_Athletes_The_Players__Tribune.mp4?response-content-disposition=attachment;%20filename=%22Pacers__Myles_Turner_Talks_Yoga_Benefits_for_Athletes_The_Players__Tribune.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=R5hzJnkS3m89QKKIKGv7IgLDykI%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191024-48ff8efbc0a4a93edcfdfa874b942382c877cfe25b2b9f44ff08c6/Pranayama.mp4?response-content-disposition=attachment;%20filename=%22Pranayama.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=ZkuGSkueXJEMl1VwodPA4jeS8hU%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191027-7198c284e264109e3b7b893b3c4a29e16b6fe763bd981d27c5e85f/Video_1___Introduction.mp4?response-content-disposition=attachment;%20filename=%22Video_1___Introduction.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=fdm7uvmr7joEu%2BR2Z75xgprNzQg%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-d12f6cacb28ab39f6b0dc6c2906c75896566aa5b15f0c1fd605d8b/Video_2___Mean_v2.mp4?response-content-disposition=attachment;%20filename=%22Video_2___Mean_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=U6x%2FEo4%2BG9iDMFEH%2BtdBxX4iVcs%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-6c4e0d9a138fe61a3f863f60120ab30b5cfadce6beac93bc91287e/Video_3_-_Median_v2.1.mp4?response-content-disposition=attachment;%20filename=%22Video_3_-_Median_v2.1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=yDAk5vwhRLghkr2PeEWqlqsfthk%3D
"Stile Science/Body Systems/2.3 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-51b03571d2e147ea737ab459778191e8a45473d73891a6a4c97349/Video_4_-_Mode_v5.mp4?response-content-disposition=attachment;%20filename=%22Video_4_-_Mode_v5.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=YV4AVPGBJyUQv8849cQbOQFJQ6o%3D
Stile Science/Body Systems/3.1 Lesson: The circulatory system,Upload,https://stileapp.com/uploads/au/6d7915423a3b66fbffab226eaed4787a88a802d1cc7e7385586bc09fad9de5e2/blood-vessels-video-final-wm.mov?response-content-disposition=attachment;%20filename=%22blood-vessels-video-final-wm.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=Ieest1%2BEGm7qxhvwZu%2Bi1kAsMGc%3D
Stile Science/Body Systems/3.1 Lesson: The circulatory system,Upload,https://stileapp.com/uploads/au/5878abc9d351423e98dbce8d560d3a90671ee5c007daed08ea653bb33b84c6b6/How_a_Normal_Heart_Pumps_Blood_--_The_Children_s_Hospital_of_Philadelphia.mp4?response-content-disposition=attachment;%20filename=%22How_a_Normal_Heart_Pumps_Blood_--_The_Children_s_Hospital_of_Philadelphia.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=jc%2BAhRx%2B%2B6qQpHBFylKiZLllfvc%3D
Stile Science/Body Systems/4.1 Lesson: Systems in other species,Upload,https://stileapp.com/uploads/au/159293e27c5d92cd50a65695cc7076e9621b6e9d3b0857b13ef630a6be0df50a/Sponges____JONATHAN_BIRD_S_BLUE_WORLD_-_crop.mp4?response-content-disposition=attachment;%20filename=%22Sponges____JONATHAN_BIRD_S_BLUE_WORLD_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=pkaJ3ouGD7u%2FKRxKSWemRo7XHvI%3D
Stile Science/Body Systems/4.1 Lesson: Systems in other species,Upload,https://stileapp.com/uploads/au/09a4a45478546a68528f4d1cba092976fad45d3511e71776d39e4adb3502c28a/Giant_Creepy_Grasshoppers_Attack__FYV_1080_HD.mp4?response-content-disposition=attachment;%20filename=%22Giant_Creepy_Grasshoppers_Attack__FYV_1080_HD.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=IBSvbJFhnpEvPN7ehozPEyJuhGI%3D
Stile Science/Body Systems/5.1 Lesson: The excretory system,Upload,https://stileapp.com/uploads/au/T20200819-7638f4ef237beea943cfc0e84ff31398847b0c7b479f25bca669a8/How_Pee_Brought_You_The_Modern_World.mp4?response-content-disposition=attachment;%20filename=%22How_Pee_Brought_You_The_Modern_World.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=V60DTTdPWdgT%2Fad22%2Fz%2F55QBEWs%3D
Stile Science/Body Systems/5.1 Lesson: The excretory system,Upload,https://stileapp.com/uploads/au/T20200819-d7efcbd55dbe7bceeddd51be935b060dccb6ff5f83a196da023744/How_do_your_kidneys_work__-_Emma_Bryce.mp4?response-content-disposition=attachment;%20filename=%22How_do_your_kidneys_work__-_Emma_Bryce.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=GOVdLM05Aqvk00vn%2Fjn8IivEZAg%3D
Stile Science/Body Systems/5.1 Lesson: The excretory system,Upload,https://stileapp.com/uploads/au/T20200819-d648caf7afd092d8c0d60f6ea23e0781a58e3f44dc92b45bb002b1/Tahlia_s_Story_-_Kidney_Kids_Camp.mp4?response-content-disposition=attachment;%20filename=%22Tahlia_s_Story_-_Kidney_Kids_Camp.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=oHGdXBbNKQoUqTqK7R4LH2s%2FDow%3D
Stile Science/Body Systems/6.1 Lesson: Thermoregulation,Upload,https://stileapp.com/uploads/au/f93617136593a0561028ceb305cacc1863059f2f85b5a85a1ba6a7eb97b619bd/Discovery_Channel__Thermoregulation_in_Animals.mp4?response-content-disposition=attachment;%20filename=%22Discovery_Channel__Thermoregulation_in_Animals.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=vQaHt1Nf7YWmilRhbXpUmLcFYzk%3D
Stile Science/Body Systems/6.1 Lesson: Thermoregulation,Upload,https://stileapp.com/uploads/au/9c1bf16f175a5073032bf4d7121556cf44d3a74a14f9f2f3593c10f5724c4dfd/Rob___Jonny_Show_Episode_2__Endotherms___Ectotherms.mp4?response-content-disposition=attachment;%20filename=%22Rob___Jonny_Show_Episode_2__Endotherms___Ectotherms.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=en07G6YDD%2FqJN9J%2B9%2B3rhwCXxC0%3D
Stile Science/Body Systems/6.1 Lesson: Thermoregulation,Upload,https://stileapp.com/uploads/au/437e4fbb07d30b4fd4469d635b17099c929225f2dc0971fe5af67bcfe44ee746/How_our_body_temperature_is_maintained_-_Homeostasis_being_explained_in_a_simple_language_-_crop2.mp4?response-content-disposition=attachment;%20filename=%22How_our_body_temperature_is_maintained_-_Homeostasis_being_explained_in_a_simple_language_-_crop2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=LYMw57tnqozc6eevXG2Hzq0vdrA%3D
